index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.532,1026,130.368,405.022,0.248,2.643,0.119,0.115,0.579,-0.004,0.487,0.314
1,0.532,1617,129.782,406.008,0.248,2.642,0.12,0.132,0.523,0.103,0.508,0.072
2,0.547,555,129.906,406.775,0.248,2.648,0.118,0.108,0.493,0.163,0.333,0.326
3,0.547,561,131.195,402.972,0.248,2.649,0.118,0.113,0.593,-0.101,0.58,0.07
4,0.551,1740,128.205,402.288,0.248,2.642,0.12,0.125,0.511,-0.309,0.27,0.304
5,0.556,555,128.948,403.922,0.249,2.648,0.117,0.108,0.386,0.166,0.189,0.292
6,0.559,519,130.495,404.476,0.248,2.646,0.117,0.107,0.521,-0.052,0.336,0.394
7,0.56,1020,129.421,403.919,0.248,2.643,0.119,0.107,0.329,0.009,0.043,0.326
8,0.56,1608,129.428,404.27,0.248,2.641,0.12,0.13,0.118,0.089,0.003,0.077
9,0.571,516,130.139,402.92,0.249,2.647,0.117,0.107,0.462,-0.101,0.181,0.413
10,0.576,1011,129,401.169,0.248,2.643,0.119,0.111,0.406,0.234,0.33,0.035
11,0.578,1083,129.368,401.925,0.248,2.645,0.119,0.116,0.581,-0.336,0.431,0.196
12,0.578,579,129.338,405.655,0.249,2.652,0.118,0.105,0.474,0.225,0.381,0.169
13,0.581,555,129.07,403.06,0.248,2.648,0.117,0.106,0.528,-0.25,0.444,-0.141
14,0.581,486,129.114,404.561,0.25,2.644,0.118,0.1,0.587,-0.005,0.58,0.087
15,0.583,558,129.083,404.444,0.248,2.648,0.117,0.103,0.611,0.019,0.58,0.19
16,0.583,1599,129.53,403.175,0.248,2.642,0.12,0.107,0.61,-0.188,0.565,0.13
17,0.584,558,131.13,402.972,0.249,2.648,0.117,0.105,0.132,-0.092,-0.08,0.052
18,0.587,1047,128.538,403.42,0.248,2.643,0.119,0.101,0.468,0.048,0.27,0.379
19,0.588,579,128.651,401.112,0.249,2.652,0.118,0.107,0.344,0.239,0.165,0.186
20,0.588,501,129.591,400.472,0.25,2.649,0.117,0.099,0.523,-0.101,0.473,-0.2
21,0.588,1005,128.912,403.562,0.249,2.644,0.119,0.109,0.283,0.215,0.183,0.02
22,0.591,1077,129.368,401.906,0.248,2.644,0.12,0.119,0.408,-0.342,0.058,0.214
23,0.591,915,128.712,402.167,0.248,2.644,0.119,0.103,0.453,0.073,0.419,-0.156
24,0.592,552,129.082,402.394,0.249,2.649,0.117,0.109,0.288,-0.234,0.084,-0.145
25,0.594,1116,129.378,402.976,0.249,2.644,0.119,0.113,0.433,-0.103,0.349,-0.236
26,0.594,831,129.038,403.593,0.248,2.648,0.118,0.111,0.556,-0.434,0.279,0.205
27,0.594,459,129.874,401.722,0.249,2.639,0.118,0.085,0.633,-0.183,0.541,0.275
28,0.596,516,129.11,399.884,0.249,2.647,0.117,0.103,0.535,-0.412,0.333,0.072
29,0.597,1002,129.109,402.804,0.248,2.645,0.119,0.105,0.573,-0.349,0.455,0.003
30,0.6,498,129.582,402.613,0.248,2.647,0.117,0.099,0.234,-0.114,0.062,-0.194
31,0.6,909,128.697,401.348,0.248,2.643,0.119,0.105,0.194,0.065,0.097,-0.155
32,0.603,519,129.524,402.667,0.249,2.646,0.117,0.093,0.571,-0.121,0.552,-0.085
33,0.605,1116,129.324,403.004,0.248,2.644,0.119,0.113,0.31,-0.093,0.181,-0.233
34,0.608,513,129.091,400.975,0.248,2.648,0.117,0.103,0.439,-0.391,0.177,0.094
35,0.609,996,129.099,401.712,0.248,2.645,0.119,0.105,0.367,-0.353,0.098,-0.011
36,0.611,555,128.431,399.553,0.25,2.648,0.118,0.103,0.239,-0.004,-0.029,0.237
37,0.612,1590,129.463,403.354,0.248,2.642,0.12,0.108,0.21,-0.18,-0.027,0.106
38,0.614,483,128.734,403.291,0.25,2.643,0.117,0.095,0.069,0.028,-0.021,0.06
39,0.615,483,129.246,401.864,0.249,2.643,0.118,0.089,0.563,-0.2,0.341,0.401
40,0.621,501,128.153,401.051,0.248,2.649,0.117,0.092,0.325,0.014,0.252,-0.205
41,0.623,456,129.875,401.62,0.248,2.64,0.118,0.085,0.313,-0.159,0.031,0.268
42,0.624,480,129.217,403.014,0.248,2.643,0.118,0.089,0.494,-0.248,0.145,0.402
43,0.624,504,128.225,400.28,0.248,2.648,0.117,0.095,0.522,-0.261,0.386,-0.236
44,0.628,1035,129.826,403.849,0.248,2.641,0.119,0.097,0.489,-0.404,0.269,-0.061
45,0.632,516,129.515,402.145,0.248,2.647,0.117,0.093,0.158,-0.147,-0.036,-0.043
46,0.633,501,128.185,399.427,0.249,2.649,0.117,0.095,0.365,-0.241,0.2,-0.188
