index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.63,4,365.653,366.744,363.345,3.536,0.092,0.018,0.999,0.304,0.647,0.698
1,0.643,4,348.522,356.113,334.452,3.536,0.087,0.024,1,-0.579,0.616,0.534
2,0.646,4,354.432,359.613,347.499,3.536,0.085,0.03,0.999,-0.591,0.806,0.014
3,0.658,4,358.696,363.342,349.009,3.536,0.095,0.016,0.999,0.298,-0.662,0.686
4,0.659,4,360.843,364.473,355.54,3.536,0.08,0.023,0.999,0.074,0.989,-0.12
5,0.662,4,359.467,363.987,349.098,3.536,0.079,0.022,1,0.708,0.552,-0.438
6,0.666,4,364.529,365.091,363.52,3.536,0.083,0.016,0.999,0.76,0.556,0.334
7,0.667,4,348.675,357.795,342.284,3.536,0.085,0.021,0.999,-0.015,0.841,0.54
8,0.67,4,353.659,357.32,347.142,3.536,0.08,0.022,1,0.887,0.46,0.015
9,0.674,4,359.911,366.007,354.313,3.536,0.077,0.028,0.999,-0.06,0.899,-0.431
10,0.674,4,355.952,363.409,348.089,3.536,0.079,0.028,1,0.698,-0.571,-0.431
11,0.675,4,353.371,358.567,346.176,3.536,0.08,0.02,0.999,-0.669,0.662,-0.335
12,0.678,4,358.676,363.409,347.169,3.536,0.08,0.022,0.999,0.748,-0.575,0.33
13,0.68,4,352.791,361.232,337.021,3.536,0.076,0.014,0.999,-0.789,0.611,0.056
14,0.682,4,346.953,355.637,333.557,3.536,0.076,0.029,0.999,0.876,-0.482,0.015
15,0.687,4,354.559,363.985,348.131,3.536,0.082,0.022,0.999,-0.102,0.356,0.928
16,0.691,4,342.613,352.05,332.473,3.536,0.077,0.02,0.999,-0.569,-0.631,0.526
17,0.696,4,347.164,358.952,337.539,3.536,0.084,0.017,1,-0.777,-0.627,0.056
18,0.699,4,349.994,363.467,337.564,3.536,0.072,0.028,0.999,-0.101,-0.379,0.919
19,0.707,4,354.058,362.633,334.373,3.536,0.077,0.016,0.999,0.028,0.406,-0.913
20,0.707,8,355.881,366.468,332.782,3.519,0.081,0.024,0.998,-0.906,0.1,0.405
21,0.707,4,350.557,359.613,340.612,3.536,0.08,0.013,0.999,-0.578,-0.815,0.014
22,0.708,4,360.55,364.473,355.798,3.536,0.081,0.017,0.999,0.072,-0.99,-0.116
23,0.712,3,344.254,347.142,341.508,3.568,0.087,0.012,0.999,-0.024,-0.852,0.522
24,0.713,4,353.205,358.837,344.688,3.536,0.07,0.02,0.999,-0.37,0.496,-0.784
25,0.713,4,347.631,358.089,329.918,3.536,0.071,0.017,1,-0.87,0.094,0.484
26,0.715,4,357.469,365.393,336.312,3.536,0.075,0.014,1,-0.957,0.223,0.185
27,0.716,8,353.949,365.639,330.177,3.519,0.085,0.028,0.998,-0.905,-0.118,0.405
28,0.717,3,353.767,355.896,352.107,3.568,0.081,0.003,1,-0.983,0.158,0.092
29,0.718,4,349.649,357.916,343.679,3.536,0.088,0.012,0.999,-0.657,-0.677,-0.329
30,0.722,4,357.497,365.039,341.479,3.536,0.078,0.012,1,-0.923,0.268,0.273
31,0.722,4,347.13,358.866,329.141,3.536,0.079,0.022,1,-0.867,-0.119,0.483
32,0.728,4,351.576,362.633,334.373,3.536,0.067,0.012,0.999,0.028,-0.428,-0.903
33,0.729,3,348.906,352.779,341.833,3.568,0.078,0.01,1,-0.971,-0.22,0.091
34,0.73,4,355.475,365.393,336.312,3.536,0.08,0.018,1,-0.951,-0.247,0.184
35,0.731,4,354.094,366.007,338.791,3.536,0.082,0.014,0.999,-0.059,-0.905,-0.421
36,0.733,4,355.463,365.039,341.479,3.536,0.06,0.018,1,-0.917,-0.292,0.272
37,0.738,4,351.784,358.837,344.688,3.536,0.076,0.014,0.999,-0.365,-0.516,-0.774
38,0.741,3,353.421,355.54,351.59,3.568,0.079,0.005,1,-0.939,0.158,0.304
39,0.743,3,344.181,348.369,340.546,3.568,0.083,0.006,0.999,0.148,0.51,-0.846
40,0.75,3,348.459,355.54,338.248,3.568,0.078,0.012,1,-0.928,-0.219,0.3
41,0.757,2,341.908,343.269,340.546,3.645,0.059,0.007,1,0.143,-0.548,-0.824
