index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.642,4,387.299,395.825,379.618,3.188,0.068,0.018,0.999,0.714,0.683,0.146
1,0.643,4,389.02,391.985,385.814,3.188,0.065,0.029,0.997,-0.129,0.989,0.012
2,0.647,4,394.594,401.409,385.029,3.188,0.063,0.016,0.998,0.49,0.679,0.543
3,0.651,4,384.123,391.307,376.266,3.188,0.07,0.022,0.998,0.667,0.725,-0.165
4,0.652,4,388.563,393.001,384.298,3.188,0.06,0.023,0.999,0.987,0.151,-0.032
5,0.655,8,382.41,392.187,360.204,3.147,0.061,0.024,0.996,0.437,0.657,-0.608
6,0.657,4,390.793,401.658,384.562,3.188,0.063,0.028,0.997,-0.604,0.67,-0.423
7,0.659,4,387.091,394.824,379.618,3.188,0.06,0.017,0.998,0.048,0.588,0.804
8,0.66,4,386.84,393.99,379.618,3.188,0.058,0.017,0.998,0.622,0.768,0.145
9,0.664,4,386.555,393.001,383.107,3.188,0.059,0.029,0.998,0.985,-0.161,-0.031
10,0.665,12,387.189,395.812,371.586,3.103,0.059,0.034,0.998,0.909,0.107,0.397
11,0.667,4,380.989,391.985,370.912,3.188,0.058,0.03,0.997,0.003,0.975,-0.206
12,0.667,3,369.292,383.276,361.72,3.187,0.056,0.022,0.997,-0.685,0.724,-0.032
13,0.668,4,386.84,393.99,379.618,3.188,0.062,0.017,0.997,0.577,0.104,0.807
14,0.67,4,393.676,398.751,388.578,3.188,0.063,0.023,0.997,-0.567,0.808,0.144
15,0.67,4,378.769,386.975,367.044,3.188,0.06,0.024,0.997,0.05,-0.593,0.799
16,0.671,4,378.769,392.154,366.197,3.188,0.049,0.016,0.997,0.709,-0.686,0.146
17,0.672,4,385.423,391.985,377.922,3.188,0.068,0.016,0.997,-0.655,0.633,0.408
18,0.672,4,380.989,392.154,370.912,3.188,0.057,0.025,0.998,0.849,0.062,-0.521
19,0.672,4,393.679,400.912,385.871,3.188,0.058,0.019,0.998,0.757,0.415,0.501
20,0.673,12,386.975,392.4,380.599,3.103,0.06,0.029,0.995,-0.226,0.534,0.809
21,0.674,4,390.398,393.99,384.972,3.188,0.054,0.018,0.999,0.949,0.242,0.193
22,0.674,12,384.168,393.977,369.751,3.103,0.061,0.039,0.998,0.908,-0.114,0.397
23,0.675,4,393.318,400.973,386.206,3.188,0.064,0.019,0.998,0.312,0.943,0.1
24,0.677,4,384.335,392.154,377.782,3.188,0.064,0.021,0.997,0.576,-0.115,0.805
25,0.679,4,378.1,388.63,360.204,3.188,0.054,0.025,0.998,0.48,0.711,-0.509
26,0.68,4,388.1,392.989,381.621,3.188,0.058,0.025,0.997,0.092,0.947,-0.298
27,0.68,7,375.125,387.822,360.947,3.15,0.058,0.033,0.997,-0.266,0,0.96
28,0.681,4,390.382,400.259,377.061,3.188,0.057,0.017,0.998,0.579,0.416,-0.697
29,0.681,4,380.777,392.154,370.912,3.188,0.058,0.03,0.998,0.848,-0.072,-0.521
30,0.681,4,374.542,384.298,358.335,3.188,0.05,0.023,0.998,-0.638,0.317,0.699
31,0.681,4,389.088,399.077,379.938,3.188,0.058,0.022,0.997,0.753,-0.423,0.498
32,0.685,4,380.531,387.822,372.398,3.188,0.059,0.03,0.997,-0.256,-0.595,0.758
33,0.686,4,386.929,392.154,383.136,3.188,0.062,0.025,0.998,0.946,-0.252,0.193
34,0.687,4,385.53,393.636,381.111,3.188,0.05,0.025,0.997,-0.344,0.104,0.93
35,0.687,4,376.589,388.81,366.232,3.188,0.07,0.018,0.997,0.091,0.233,0.966
36,0.688,4,382.508,387.644,377.922,3.188,0.052,0.024,0.998,-0.65,-0.638,0.408
37,0.688,4,394.429,402.15,387.1,3.188,0.057,0.021,0.999,0.854,0.42,-0.301
38,0.69,4,389.216,400.259,376.496,3.188,0.062,0.02,0.997,0.579,-0.423,-0.693
39,0.69,4,371.195,384.298,358.335,3.188,0.064,0.028,0.998,-0.635,-0.324,0.698
40,0.692,4,384.649,397.739,370.181,3.188,0.057,0.014,0.996,0.487,-0.682,0.539
41,0.692,11,381.899,400.476,361.646,3.116,0.058,0.032,0.997,0.19,0.942,-0.265
42,0.693,4,380.989,387.822,375.075,3.188,0.057,0.03,0.997,-0.212,-0.552,0.803
43,0.694,4,372.076,389.477,360.204,3.188,0.068,0.02,0.997,0.485,-0.635,-0.597
44,0.694,4,386.78,396.735,377.605,3.188,0.062,0.022,0.998,0.4,0.899,-0.165
45,0.695,4,374.084,391.985,365.558,3.188,0.066,0.029,0.997,-0.213,0.967,-0.118
46,0.696,4,386.257,393.636,381.111,3.188,0.059,0.027,0.997,-0.343,-0.114,0.93
47,0.696,4,384.335,387.822,380.429,3.188,0.069,0.03,0.997,-0.214,-0.468,0.854
48,0.696,4,382.824,389.657,371.586,3.188,0.062,0.018,0.997,0.267,0.235,0.932
49,0.697,4,372.288,391.985,361.72,3.188,0.056,0.023,0.998,-0.039,0.914,0.397
50,0.698,4,377.888,391.307,366.197,3.188,0.06,0.02,0.997,0.663,-0.727,-0.162
51,0.698,4,385.585,394.49,374.933,3.188,0.061,0.019,0.998,0.31,0.893,0.319
52,0.699,4,372.701,386.975,364.397,3.188,0.054,0.025,0.997,0.092,-0.242,0.963
53,0.699,4,384.733,393.324,377.678,3.188,0.066,0.02,0.997,-0.171,0.93,0.316
