index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.619,14,245.571,250.652,238.251,2.527,0.065,0.052,0.997,0.093,0.588,0.799
1,0.624,14,248.057,251.041,242.801,2.527,0.062,0.027,0.997,0.64,0.589,0.488
2,0.628,14,244.053,250.048,232.46,2.527,0.062,0.057,0.996,0.8,0.582,-0.114
3,0.631,8,245.632,248.718,242.919,2.547,0.058,0.033,0.998,0.089,-0.642,0.758
4,0.633,15,243.054,249.464,232.242,2.548,0.059,0.034,0.996,-0.508,0.581,0.63
5,0.64,8,245.431,248.538,242.892,2.547,0.059,0.038,0.999,0.75,-0.649,-0.122
6,0.641,7,248.061,251.369,244.504,2.55,0.058,0.027,0.998,0.516,0.466,0.715
7,0.643,7,239.726,249.49,229.313,2.55,0.061,0.036,0.997,0.638,-0.557,0.526
8,0.65,7,244.146,249.49,236.625,2.55,0.064,0.034,0.997,0.513,-0.475,0.711
9,0.652,16,240.838,249.866,230.157,2.549,0.055,0.039,0.996,-0.507,-0.585,0.627
10,0.653,8,244.785,248.718,241.198,2.547,0.063,0.023,0.999,0.607,-0.642,0.466
11,0.653,16,243.162,250.402,226.842,2.549,0.061,0.037,0.996,0.483,0.581,-0.65
12,0.653,8,244.506,249.49,237.542,2.547,0.056,0.032,0.998,0.695,0.46,-0.548
13,0.657,7,247.958,250.652,245.036,2.55,0.06,0.022,0.999,0.868,0.476,0.133
14,0.662,8,242.678,249.49,237.542,2.547,0.052,0.038,0.998,0.688,-0.478,-0.542
15,0.662,8,242.89,249.49,237.542,2.547,0.059,0.029,0.999,-0.64,0.605,-0.471
16,0.664,8,245.498,249.49,242.749,2.547,0.059,0.024,0.999,-0.782,0.613,0.103
17,0.666,7,246.478,249.49,243.875,2.55,0.061,0.026,0.998,-0.159,0.466,0.868
18,0.669,7,245.191,249.49,238.319,2.55,0.056,0.029,0.998,0.862,-0.485,0.133
19,0.674,8,245.431,250.026,239.236,2.547,0.059,0.029,0.998,-0.137,0.618,-0.771
20,0.678,7,244.872,248.51,238.319,2.55,0.057,0.033,0.998,-0.157,-0.474,0.864
21,0.68,12,239.466,247.791,227.109,2.503,0.063,0.046,0.997,-0.795,-0.594,0.089
22,0.68,7,244.913,249.672,239.418,2.55,0.062,0.021,0.998,0.482,0.857,0.172
23,0.684,15,240.278,250.048,227.378,2.548,0.063,0.029,0.997,0.486,-0.581,-0.648
24,0.686,7,245.384,249.529,241.648,2.55,0.06,0.02,0.998,0.196,0.853,0.48
25,0.686,8,243.737,248.718,235.437,2.547,0.058,0.024,0.998,-0.725,0.45,0.518
26,0.687,7,236.019,244.319,222.536,2.55,0.061,0.028,0.998,0.063,-0.544,0.834
27,0.689,7,243.102,249.49,237.837,2.55,0.053,0.025,0.998,-0.198,0.844,0.494
28,0.691,7,237.548,246.673,230.766,2.55,0.06,0.027,0.997,-0.666,0.531,-0.519
29,0.692,7,240.044,249.49,228.092,2.55,0.061,0.029,0.998,0.151,0.845,-0.509
30,0.695,8,243.034,248.538,236.625,2.547,0.059,0.025,0.998,0.464,0.853,-0.23
31,0.696,8,241.842,248.51,235.437,2.547,0.066,0.03,0.998,-0.718,-0.465,0.513
32,0.696,7,235.853,249.49,222.536,2.55,0.055,0.033,0.998,0.826,-0.552,-0.091
33,0.698,8,241.34,248.718,232.584,2.547,0.061,0.027,0.999,-0.502,0.837,0.21
34,0.699,12,239.28,249.512,222.474,2.503,0.065,0.041,0.997,-0.112,-0.593,-0.793
35,0.7,7,242.057,247.831,232.46,2.55,0.065,0.026,0.997,-0.546,0.452,-0.701
36,0.701,7,239.318,248.367,232.727,2.55,0.062,0.033,0.998,-0.52,0.833,-0.176
37,0.703,14,237.855,245.817,225.925,2.527,0.061,0.024,0.997,-0.635,-0.581,-0.503
38,0.704,7,243.981,249.49,233.174,2.55,0.061,0.022,0.998,0.11,0.462,-0.877
39,0.707,7,240.363,248.367,228.536,2.55,0.054,0.03,0.997,-0.24,0.84,-0.481
40,0.713,7,243.662,248.538,237.81,2.55,0.057,0.026,0.998,-0.878,0.454,-0.136
41,0.719,7,242.299,248.538,233.174,2.55,0.061,0.026,0.997,0.11,-0.471,-0.872
42,0.72,7,239.968,246.308,232.46,2.55,0.056,0.023,0.998,-0.544,-0.461,-0.699
43,0.721,5,238.161,243.428,232.638,2.564,0.062,0.01,0.998,-0.847,0.524,0.067
44,0.727,7,237.471,248.51,220.842,2.55,0.063,0.021,0.998,0.477,-0.859,0.172
45,0.73,5,237.822,239.236,236.143,2.564,0.055,0.016,0.997,-0.113,0.525,-0.84
46,0.733,7,238.427,246.816,220.842,2.55,0.06,0.019,0.997,0.195,-0.855,0.476
47,0.736,7,236.745,243.875,222.536,2.55,0.059,0.025,0.998,-0.195,-0.847,0.49
48,0.738,7,241.98,248.002,237.81,2.55,0.066,0.019,0.999,-0.875,-0.462,-0.135
49,0.742,8,238.097,248.367,225.622,2.547,0.058,0.022,0.999,0.455,-0.86,-0.226
50,0.743,7,233.764,242.919,220.842,2.55,0.061,0.025,0.998,0.15,-0.848,-0.504
51,0.748,8,236.336,246.28,225.442,2.547,0.059,0.021,0.998,-0.494,-0.843,0.206
52,0.761,7,233.038,242.919,222.536,2.55,0.059,0.02,0.999,-0.516,-0.837,-0.174
53,0.767,7,234.643,245.15,225.272,2.55,0.058,0.016,0.998,-0.238,-0.844,-0.477
