index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.622,20,383.12,395.926,363.223,3.158,0.088,0.038,0.996,0.656,0.002,0.749
1,0.642,7,380.974,389.865,362.463,3.15,0.085,0.026,0.997,-0.7,0.001,0.71
2,0.647,4,395.713,402.303,390.556,3.188,0.077,0.019,0.997,0.091,0.988,0.1
3,0.647,4,386.238,398.395,372.85,3.188,0.083,0.022,0.997,-0.648,0.756,0.055
4,0.652,4,388.602,392.311,384.298,3.188,0.083,0.023,0.997,0.135,0.988,-0.032
5,0.653,4,388.774,393.001,384.298,3.188,0.073,0.022,0.998,0.593,0.743,-0.305
6,0.654,4,396.274,400.178,391.173,3.188,0.083,0.014,0.998,0.318,0.6,0.731
7,0.654,4,388.986,393.001,384.298,3.188,0.075,0.022,0.998,0.591,0.786,-0.169
8,0.657,4,385.216,392.154,377.782,3.188,0.071,0.022,0.998,0.578,0.813,-0.032
9,0.658,4,390.471,394.978,384.13,3.188,0.084,0.005,0.999,0.671,0.684,0.28
10,0.658,4,391.067,393.99,387.649,3.188,0.073,0.018,0.998,0.955,0.062,0.285
11,0.659,4,393.041,396.001,391.642,3.188,0.082,0.028,0.997,-0.129,0.986,-0.076
12,0.661,4,378.769,392.154,362.034,3.188,0.085,0.017,0.998,0.71,0.106,-0.694
13,0.666,4,390.061,396.065,382.667,3.188,0.08,0.022,0.996,0.317,-0.605,0.725
14,0.666,4,393.658,402.981,387.618,3.188,0.064,0.017,0.998,0.093,0.504,0.856
15,0.667,4,383.454,391.138,377.782,3.188,0.092,0.022,0.998,-0.302,0.717,0.625
16,0.667,4,389.985,392.646,386.483,3.188,0.076,0.023,0.997,-0.084,0.285,0.952
17,0.667,4,389.232,392.154,385.814,3.188,0.076,0.023,0.998,0.954,-0.074,0.285
18,0.668,7,380.743,388.496,373.729,3.15,0.082,0.025,0.996,0.208,0,0.974
19,0.668,4,390.61,393.99,385.819,3.188,0.082,0.018,0.998,0.5,0.83,0.238
20,0.67,4,379.65,392.154,362.881,3.188,0.07,0.021,0.998,0.709,-0.115,-0.693
21,0.67,4,387.012,391.985,383.276,3.188,0.073,0.025,0.997,-0.306,0.947,0.056
