index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.532,342,389.963,405.36,354.703,3.199,0.06,0.115,0.974,0.277,0.648,0.672
1,0.532,539,388.378,404.506,352.228,3.198,0.06,0.132,0.954,0.587,0.75,-0.049
2,0.547,185,388.604,407.464,353.769,3.206,0.059,0.108,0.992,0.726,0.236,0.634
3,0.547,187,392.481,403.753,363.624,3.205,0.06,0.113,0.992,0.022,0.985,-0.113
4,0.551,580,383.618,404.342,351.034,3.197,0.06,0.125,0.943,-0.647,-0.003,0.686
5,0.556,185,385.783,402.7,351.34,3.206,0.06,0.108,0.992,0.724,-0.246,0.632
6,0.559,173,390.342,402.835,355.242,3.208,0.06,0.107,0.991,0.023,0.189,0.973
7,0.56,340,387.147,403.046,352.272,3.198,0.06,0.107,0.975,0.275,-0.654,0.669
8,0.56,536,387.3,404.09,351.829,3.198,0.061,0.13,0.954,0.584,-0.753,-0.048
9,0.571,172,389.245,401.456,354.979,3.209,0.059,0.107,0.992,0.023,-0.199,0.971
10,0.576,337,385.863,402.513,350.254,3.199,0.06,0.111,0.976,0.927,0.19,-0.238
11,0.578,361,387.029,402.203,354.401,3.196,0.06,0.116,0.976,-0.748,0.538,0.322
12,0.578,193,386.835,404.631,350.246,3.204,0.06,0.105,0.991,0.908,0.282,0.282
13,0.581,185,386.14,403.5,352.879,3.206,0.059,0.106,0.992,-0.414,0.586,-0.684
14,0.581,162,386.201,402.332,352.018,3.206,0.061,0.1,0.992,0.37,0.92,0.02
15,0.583,186,386.135,403.627,354.578,3.205,0.059,0.103,0.991,0.286,0.853,0.415
16,0.583,533,387.602,403.961,350.16,3.199,0.06,0.107,0.956,-0.286,0.907,0.1
17,0.584,186,392.296,404.035,363.624,3.205,0.06,0.105,0.992,0.021,-0.985,-0.113
18,0.587,349,384.483,404.262,350.14,3.197,0.06,0.101,0.979,0.412,-0.004,0.888
19,0.588,193,384.823,399.338,351.483,3.204,0.06,0.107,0.991,0.905,-0.291,0.281
20,0.588,167,387.597,401.611,356.144,3.21,0.061,0.099,0.991,-0.021,0.58,-0.804
21,0.588,335,385.622,402.158,348.663,3.199,0.06,0.109,0.976,0.926,-0.198,-0.237
22,0.591,359,386.998,403.092,351.752,3.196,0.06,0.119,0.977,-0.745,-0.544,0.321
23,0.591,305,385.05,400.634,352.329,3.2,0.06,0.103,0.976,0.499,0.45,-0.708
24,0.592,184,386.112,403,352.639,3.205,0.06,0.109,0.992,-0.412,-0.593,-0.681
25,0.594,372,387.034,403.083,354.818,3.198,0.06,0.113,0.977,-0.021,0.238,-0.947
26,0.594,277,386.01,403.455,350.453,3.201,0.061,0.111,0.988,-0.899,-0.005,0.41
27,0.594,153,388.515,403.536,356.228,3.204,0.061,0.085,0.992,-0.319,0.742,0.575
28,0.596,172,386.143,401.044,354.171,3.209,0.058,0.103,0.992,-0.973,0.189,-0.026
29,0.597,334,386.204,402.326,350.254,3.198,0.06,0.105,0.976,-0.778,0.536,-0.245
30,0.6,166,387.661,401.951,354.117,3.209,0.06,0.099,0.992,-0.021,-0.586,-0.8
31,0.6,303,385.014,401.717,350.489,3.199,0.06,0.105,0.976,0.497,-0.457,-0.705
32,0.603,173,387.416,402.555,354.49,3.208,0.06,0.093,0.992,-0.151,0.841,-0.503
33,0.605,372,386.865,403.815,350.489,3.198,0.06,0.113,0.976,-0.021,-0.245,-0.944
34,0.608,171,386.097,399.941,352.971,3.21,0.061,0.103,0.992,-0.971,-0.199,-0.026
35,0.609,332,386.14,402.016,351.51,3.198,0.06,0.105,0.976,-0.773,-0.543,-0.243
36,0.611,185,384.21,403.028,349.383,3.206,0.059,0.103,0.992,0.284,-0.857,0.41
37,0.612,530,387.375,403.626,350.656,3.199,0.06,0.108,0.956,-0.284,-0.907,0.1
38,0.614,161,385.077,400.785,352.018,3.205,0.06,0.095,0.992,0.367,-0.921,0.019
39,0.615,161,386.63,403.061,351.34,3.205,0.06,0.089,0.992,-0.364,0.275,0.88
40,0.621,167,383.277,399.827,351.588,3.21,0.06,0.092,0.991,0.486,-0.005,-0.864
41,0.623,152,388.482,402.186,357.075,3.203,0.06,0.085,0.992,-0.318,-0.746,0.571
42,0.624,160,386.584,403.061,350.557,3.205,0.06,0.089,0.992,-0.364,-0.284,0.879
43,0.624,168,383.43,401.677,352.122,3.209,0.06,0.095,0.991,-0.536,0.233,-0.801
44,0.628,345,388.348,404.425,356.491,3.198,0.06,0.097,0.98,-0.887,-0.005,-0.415
45,0.632,172,387.327,402.344,355.644,3.209,0.059,0.093,0.992,-0.15,-0.844,-0.499
46,0.633,167,383.409,400.782,351.899,3.21,0.06,0.095,0.992,-0.536,-0.241,-0.799
