index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.608,7,393.278,399.057,388.9,3.15,0.066,0.033,0.996,-0.009,0,0.996
1,0.617,7,396.899,400.625,391.315,3.15,0.065,0.031,0.998,0.997,-0.001,-0.028
2,0.617,4,399.606,402.913,395.916,3.188,0.062,0.004,0.998,0.506,0.61,0.607
3,0.622,4,385.851,393.001,378.629,3.188,0.065,0.022,0.999,0.721,0.69,-0.033
4,0.628,4,395.597,400.408,389.625,3.188,0.065,0.016,0.998,0.093,0.682,0.722
5,0.642,4,396.102,400.581,392.967,3.188,0.056,0.021,0.998,-0.351,0.64,0.68
6,0.645,4,392.712,397.843,386.348,3.188,0.067,0.014,0.996,0.503,-0.615,0.602
7,0.65,4,386.84,393.989,379.618,3.188,0.062,0.018,0.998,0.627,0.105,0.769
8,0.651,4,379.404,393.001,367.044,3.188,0.058,0.022,0.997,0.716,-0.693,-0.031
9,0.654,4,395.496,402.57,389.38,3.188,0.058,0.006,0.999,0.671,0.684,0.28
10,0.655,4,386.079,399.242,373.623,3.188,0.057,0.015,0.998,-0.606,0.584,0.536
11,0.656,7,390.285,392.973,387.822,3.15,0.059,0.025,0.996,0.395,-0.001,0.915
12,0.656,4,384.123,391.307,373.589,3.188,0.057,0.022,0.998,0.666,0.636,-0.386
13,0.657,4,386.746,393.563,372.346,3.188,0.06,0.015,0.997,0.094,-0.685,0.717
14,0.659,4,385.004,392.154,377.782,3.188,0.06,0.022,0.997,0.626,-0.116,0.768
15,0.668,7,390.804,397.279,380.534,3.15,0.058,0.032,0.997,-0.445,0,0.892
16,0.668,7,381.03,388.496,375.244,3.15,0.061,0.025,0.996,0.208,0,0.974
17,0.67,4,387.178,395.328,378.943,3.188,0.057,0.022,0.998,0.442,0.895,0.012
18,0.671,4,392.518,395.448,386.244,3.188,0.058,0.019,0.997,-0.347,-0.645,0.677
19,0.674,7,385.432,393.316,370.912,3.15,0.061,0.035,0.997,0.104,0.906,-0.402
20,0.674,4,379.2,386.64,371.729,3.188,0.061,0.017,0.998,-0.601,-0.59,0.535
21,0.675,7,397.827,401.065,393.198,3.15,0.051,0.023,0.998,-0.992,0.001,0.102
22,0.676,4,384.335,391.985,370.912,3.188,0.066,0.016,0.997,0.224,0.679,-0.695
23,0.677,4,385.674,392.154,376.266,3.188,0.061,0.025,0.998,0.897,0.062,-0.434
24,0.679,4,385.501,393.99,376.94,3.188,0.06,0.018,0.998,0.886,0.06,0.455
25,0.682,4,386.986,398.899,375.023,3.188,0.065,0.015,0.997,0.666,-0.687,0.278
26,0.682,4,383.208,392.154,370.912,3.188,0.067,0.025,0.998,0.756,0.327,-0.564
27,0.685,4,379.227,391.307,371.551,3.188,0.053,0.021,0.997,0.663,-0.64,-0.381
28,0.686,4,384.335,392.154,376.266,3.188,0.056,0.03,0.998,0.896,-0.072,-0.433
29,0.687,4,378.981,387.822,366.366,3.188,0.057,0.015,0.998,-0.778,0.061,0.623
30,0.687,4,372.534,391.985,358.335,3.188,0.06,0.028,0.997,-0.552,0.83,-0.031
31,0.688,4,389.227,393.99,382.295,3.188,0.061,0.018,0.998,0.314,0.905,0.279
32,0.688,4,382.327,392.154,375.105,3.188,0.047,0.023,0.998,0.886,-0.072,0.454
33,0.688,4,374.334,393.82,363.555,3.188,0.058,0.023,0.998,0.003,0.915,0.397
34,0.69,4,384.578,396.9,372.515,3.188,0.06,0.022,0.997,-0.558,0.795,0.228
35,0.691,4,380.531,392.154,370.912,3.188,0.057,0.03,0.998,0.754,-0.335,-0.56
36,0.694,4,380.108,391.307,370.912,3.188,0.054,0.022,0.997,0.226,-0.684,-0.69
37,0.695,4,379.096,392.05,361.542,3.188,0.064,0.021,0.998,0.565,0.752,-0.334
38,0.696,4,378.769,387.822,366.366,3.188,0.059,0.02,0.998,-0.777,-0.069,0.623
39,0.696,4,369.857,388.461,354.002,3.188,0.057,0.02,0.996,-0.42,0.653,-0.624
40,0.696,4,386.427,391.985,379.752,3.188,0.057,0.016,0.997,-0.797,0.552,0.235
41,0.697,4,381.446,392.154,367.388,3.188,0.062,0.025,0.998,0.797,0.37,-0.473
42,0.698,4,381.658,391.985,375.244,3.188,0.061,0.021,0.997,-0.69,0.582,-0.422
43,0.702,4,372.11,388.461,363.689,3.188,0.064,0.03,0.997,-0.551,0.743,-0.372
44,0.703,4,385.177,394.997,377.448,3.188,0.051,0.021,0.997,-0.214,0.887,0.404
45,0.706,4,377.219,392.154,367.388,3.188,0.058,0.03,0.998,0.795,-0.378,-0.47
