index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.642,4,244.91,250.833,239.418,2.588,0.068,0.018,0.999,0.715,0.682,0.145
1,0.643,4,246,248.367,243.339,2.588,0.065,0.029,0.998,-0.128,0.99,0.011
2,0.647,4,249.527,254.367,242.843,2.588,0.063,0.016,0.999,0.491,0.679,0.543
3,0.651,4,242.901,247.974,237.542,2.588,0.07,0.022,0.999,0.668,0.724,-0.166
4,0.652,4,245.71,249.046,242.625,2.588,0.06,0.023,0.999,0.987,0.15,-0.033
5,0.655,8,241.976,248.538,227.378,2.547,0.061,0.024,0.997,0.441,0.656,-0.608
6,0.657,4,247.122,254.489,243.273,2.588,0.063,0.028,0.998,-0.605,0.67,-0.425
7,0.659,4,244.779,250.164,239.418,2.588,0.06,0.017,0.998,0.049,0.589,0.805
8,0.66,4,244.62,249.672,239.418,2.588,0.058,0.017,0.999,0.623,0.767,0.144
9,0.664,4,244.44,249.046,242.625,2.588,0.059,0.029,0.999,0.985,-0.162,-0.033
10,0.665,12,245.041,251.209,234.336,2.503,0.059,0.034,0.998,0.91,0.106,0.396
11,0.667,4,240.918,248.367,234.154,2.588,0.058,0.03,0.998,0.004,0.976,-0.207
12,0.667,3,233.352,242.892,228.092,2.587,0.056,0.022,0.998,-0.682,0.727,-0.033
13,0.668,4,244.62,249.672,239.418,2.588,0.062,0.017,0.998,0.579,0.104,0.807
14,0.67,4,248.946,252.649,246.247,2.588,0.063,0.023,0.998,-0.567,0.809,0.143
15,0.67,4,239.513,244.319,232.584,2.588,0.06,0.024,0.998,0.05,-0.596,0.799
16,0.671,4,239.513,248.51,232.048,2.588,0.049,0.016,0.998,0.709,-0.687,0.144
17,0.672,4,243.723,248.367,239.504,2.588,0.068,0.016,0.998,-0.655,0.633,0.408
18,0.672,4,240.918,248.51,234.154,2.588,0.057,0.025,0.999,0.849,0.061,-0.522
19,0.672,4,248.948,254.053,243.375,2.588,0.058,0.019,0.999,0.759,0.415,0.5
20,0.673,12,244.906,248.718,240.487,2.503,0.06,0.029,0.996,-0.226,0.534,0.81
21,0.674,4,246.872,249.672,242.806,2.588,0.054,0.018,0.999,0.95,0.241,0.192
22,0.674,12,243.129,250.048,233.174,2.503,0.061,0.039,0.998,0.909,-0.115,0.395
23,0.675,4,248.72,254.055,243.587,2.588,0.064,0.019,0.998,0.313,0.943,0.099
24,0.677,4,243.035,248.51,238.257,2.588,0.064,0.021,0.998,0.578,-0.116,0.805
25,0.679,4,239.089,246.28,227.378,2.588,0.054,0.025,0.998,0.481,0.71,-0.51
26,0.68,4,245.418,249.003,240.931,2.588,0.058,0.025,0.998,0.093,0.947,-0.3
27,0.68,7,237.306,244.855,227.619,2.55,0.058,0.033,0.998,-0.263,-0.002,0.962
28,0.681,4,246.862,253.639,238.045,2.588,0.057,0.017,0.999,0.58,0.415,-0.698
29,0.681,4,240.784,248.51,234.154,2.588,0.058,0.03,0.999,0.849,-0.073,-0.522
30,0.681,4,236.838,242.749,227.109,2.588,0.05,0.023,0.999,-0.639,0.317,0.699
31,0.681,4,246.043,252.891,240.744,2.588,0.058,0.022,0.998,0.754,-0.425,0.497
32,0.685,4,240.628,244.855,235.973,2.588,0.059,0.03,0.998,-0.256,-0.597,0.758
33,0.686,4,244.676,248.51,241.645,2.588,0.062,0.025,0.999,0.947,-0.253,0.192
34,0.687,4,243.791,248.534,241.513,2.588,0.05,0.025,0.998,-0.344,0.104,0.931
35,0.687,4,238.133,245.48,230.947,2.588,0.07,0.018,0.998,0.092,0.233,0.966
36,0.688,4,241.879,244.742,239.504,2.588,0.052,0.024,0.999,-0.65,-0.64,0.407
37,0.688,4,249.423,254.8,244.398,2.588,0.057,0.021,0.999,0.855,0.419,-0.302
38,0.69,4,246.124,253.639,237.688,2.588,0.062,0.02,0.998,0.579,-0.425,-0.694
39,0.69,4,234.72,242.625,227.109,2.588,0.064,0.028,0.999,-0.636,-0.326,0.697
40,0.692,4,243.234,252.044,234.57,2.588,0.057,0.014,0.998,0.488,-0.684,0.538
41,0.692,11,241.675,253.741,228.138,2.516,0.058,0.032,0.998,0.192,0.943,-0.265
42,0.693,4,240.918,244.855,237.667,2.588,0.057,0.03,0.998,-0.213,-0.554,0.802
43,0.694,4,235.278,246.816,227.378,2.588,0.068,0.02,0.998,0.484,-0.636,-0.598
44,0.694,4,244.582,251.409,238.389,2.588,0.062,0.022,0.998,0.401,0.899,-0.166
45,0.695,4,236.548,248.367,230.766,2.588,0.066,0.029,0.998,-0.212,0.968,-0.119
46,0.696,4,244.251,248.534,241.513,2.588,0.059,0.027,0.998,-0.344,-0.115,0.93
47,0.696,4,243.035,244.855,241.055,2.588,0.069,0.03,0.998,-0.215,-0.471,0.854
48,0.696,4,242.079,246.016,234.336,2.588,0.062,0.018,0.998,0.268,0.235,0.932
49,0.697,4,235.412,248.367,228.092,2.588,0.056,0.023,0.998,-0.038,0.915,0.397
50,0.698,4,238.955,247.974,232.048,2.588,0.06,0.02,0.998,0.663,-0.728,-0.163
51,0.698,4,243.826,249.952,236.453,2.588,0.061,0.019,0.998,0.311,0.894,0.318
52,0.699,4,235.673,244.319,229.786,2.588,0.054,0.025,0.998,0.092,-0.244,0.963
53,0.699,4,243.287,249.214,238.191,2.588,0.066,0.02,0.998,-0.17,0.931,0.316
54,0.7,4,246.72,251.475,243.987,2.588,0.058,0.027,0.999,0.851,-0.429,-0.3
55,0.701,4,238.527,249.995,231.066,2.588,0.06,0.025,0.998,-0.381,0.787,0.482
56,0.703,4,242.746,248.51,230.23,2.588,0.052,0.015,0.998,0.094,0.238,-0.964
57,0.703,4,245.866,247.974,243.339,2.588,0.057,0.013,0.998,-0.124,-0.99,0.012
58,0.704,4,240.784,248.51,235.848,2.588,0.067,0.019,0.998,0.401,-0.686,-0.603
59,0.705,4,239.089,248.51,230.354,2.588,0.06,0.016,0.998,0.618,-0.77,0.143
60,0.705,7,234.643,248.367,223.453,2.55,0.059,0.035,0.997,-0.169,0.825,-0.533
61,0.706,4,240.494,248.367,234.154,2.588,0.061,0.029,0.998,-0.17,0.887,-0.425
62,0.707,4,238.8,244.855,233.174,2.588,0.06,0.024,0.998,0.268,-0.246,0.929
63,0.709,4,238.108,246.137,231.924,2.588,0.063,0.018,0.998,-0.682,0.36,-0.634
64,0.715,4,244.101,247.018,242.405,2.588,0.058,0.013,0.999,-0.601,-0.677,-0.422
65,0.716,4,238.006,248.579,231.033,2.588,0.056,0.025,0.998,-0.425,0.875,0.226
66,0.717,3,241.69,247.418,238.336,2.587,0.07,0.01,0.998,-0.938,0.341,0.01
67,0.717,4,242.612,248.51,230.23,2.588,0.058,0.019,0.998,0.094,-0.249,-0.962
68,0.717,4,244.448,250.697,237.631,2.588,0.07,0.015,0.999,-0.833,0.37,0.409
69,0.718,4,245.689,250.652,239.083,2.588,0.064,0.018,0.999,-0.561,-0.814,0.143
70,0.719,7,246.583,254.943,228.691,2.55,0.058,0.019,0.998,-0.912,0.3,0.274
71,0.719,4,235.567,242.625,227.109,2.588,0.071,0.024,0.998,-0.465,0.315,0.825
72,0.724,2,228.582,229.072,228.092,2.51,0.058,0.005,0.999,-0.655,-0.753,-0.04
73,0.725,4,241.748,250.515,230.01,2.588,0.062,0.012,0.998,0.312,-0.943,0.1
