index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.63,4,394.053,400.071,384.695,3.188,0.092,0.017,0.998,0.626,0.505,0.591
1,0.632,11,390.981,401.836,381.469,3.116,0.087,0.029,0.996,0.124,0.664,0.731
2,0.634,25,387.717,399.561,368.808,3.167,0.082,0.053,0.994,0.575,0.769,0.255
3,0.637,4,395.888,400.562,390.153,3.188,0.079,0.016,0.998,0.319,0.647,0.689
4,0.639,4,386.591,396.4,377.773,3.188,0.08,0.021,0.997,0.622,-0.512,0.587
5,0.64,8,391.754,396.484,386.892,3.147,0.078,0.039,0.998,-0.117,0.99,-0.051
6,0.646,8,386.091,392.469,377.857,3.147,0.079,0.033,0.997,0.693,0.641,-0.322
7,0.654,4,375.242,385.114,363.393,3.188,0.077,0.02,0.998,-0.039,0.748,0.659
8,0.655,4,389.883,399.239,382.787,3.188,0.084,0.02,0.999,0.756,0.636,0.145
9,0.655,4,394.063,396.452,392.402,3.188,0.072,0.023,0.997,-0.04,0.286,0.955
10,0.655,8,395.734,400.783,384.34,3.147,0.083,0.022,0.996,-0.14,0.788,0.593
11,0.658,8,388.994,397.985,366.5,3.147,0.077,0.025,0.996,-0.484,0.685,0.537
12,0.66,11,381.633,391.65,362.159,3.116,0.079,0.023,0.996,-0.621,0.581,0.519
13,0.66,4,381.658,391.985,364.711,3.188,0.071,0.016,0.998,0.531,0.589,-0.605
14,0.66,4,388.709,394.327,380.972,3.188,0.075,0.021,0.998,-0.041,0.861,0.501
15,0.66,4,388.552,395.985,381.96,3.188,0.083,0.017,0.998,0.136,0.764,0.628
16,0.661,12,381.662,398.662,362.955,3.103,0.087,0.024,0.996,0.127,-0.667,0.729
17,0.661,7,385.999,395.151,376.91,3.15,0.076,0.022,0.997,0.103,0.981,0.148
18,0.661,7,387.287,399.912,375.075,3.15,0.072,0.033,0.998,0.542,0.834,-0.072
19,0.661,4,393.825,398.008,388.756,3.188,0.08,0.023,0.997,-0.172,0.981,0.055
20,0.665,4,388.325,396.891,380.095,3.188,0.082,0.015,0.996,0.319,-0.651,0.683
21,0.666,4,386.555,392.832,380.599,3.188,0.06,0.016,0.997,-0.703,0.681,0.189
22,0.666,4,382.764,397.404,371.342,3.188,0.076,0.024,0.997,0.75,-0.64,0.145
23,0.667,4,393.24,396.452,391.703,3.188,0.081,0.027,0.997,-0.039,-0.295,0.951
24,0.671,7,385.735,398.343,370.612,3.15,0.074,0.034,0.997,-0.372,0.924,0.04
25,0.674,4,376.092,389.477,365.558,3.188,0.077,0.024,0.997,0.531,-0.595,-0.6
26,0.674,11,378.037,391.65,365.362,3.116,0.079,0.031,0.997,-0.615,-0.592,0.515
27,0.675,8,381.529,392.469,369.289,3.147,0.08,0.027,0.997,0.683,-0.654,-0.317
28,0.678,4,380.036,400.001,369.187,3.188,0.076,0.021,0.998,0.261,0.963,0.012
29,0.678,4,389.271,393.99,383.142,3.188,0.085,0.018,0.998,0.496,0.285,0.818
30,0.678,4,386.746,398.573,369.699,3.188,0.076,0.027,0.997,0.003,0.882,-0.464
31,0.68,4,378.892,391.473,362.034,3.188,0.069,0.021,0.996,-0.169,0.708,-0.68
32,0.681,4,377.219,391.138,366.366,3.188,0.093,0.028,0.997,-0.64,0.747,-0.16
33,0.682,4,378.1,388.461,364.536,3.188,0.086,0.016,0.998,-0.643,0.449,0.617
34,0.683,15,385.978,397.726,365.729,3.148,0.086,0.027,0.994,0.62,-0.745,0.224
35,0.683,4,383.454,386.975,380.429,3.188,0.073,0.023,0.999,-0.699,-0.687,0.191
36,0.687,4,385.428,392.154,380.429,3.188,0.083,0.023,0.997,0.494,-0.294,0.814
37,0.687,18,385.392,400.565,360.716,3.15,0.079,0.037,0.996,0.287,0.907,-0.293
38,0.69,8,390.549,400.714,382.228,3.147,0.074,0.024,0.998,0.461,0.854,-0.229
39,0.691,4,372.288,385.145,364.367,3.188,0.082,0.022,0.998,-0.639,-0.456,0.617
40,0.692,4,386.343,391.985,383.137,3.188,0.077,0.023,0.998,-0.305,0.415,0.854
41,0.693,4,382.024,393.324,372.093,3.188,0.083,0.022,0.998,0.351,0.931,-0.075
42,0.693,4,387.721,393.99,379.618,3.188,0.077,0.018,0.998,0.848,0.327,0.413
43,0.695,4,390.646,399.903,377.061,3.188,0.084,0.015,0.997,0.312,0.592,-0.739
44,0.695,16,375.757,392.4,356.679,3.149,0.081,0.042,0.995,-0.503,0.795,-0.323
45,0.698,4,379.274,399.964,369.751,3.188,0.074,0.028,0.997,-0.169,0.961,-0.203
46,0.699,3,372.234,382.468,363.393,3.187,0.095,0.01,0.996,-0.051,-0.755,0.648
47,0.7,4,386.618,396.418,373.35,3.188,0.077,0.018,0.997,-0.124,-0.767,0.625
48,0.7,12,377.486,391.985,356.44,3.103,0.085,0.036,0.995,-0.35,0.866,0.343
49,0.701,8,391.709,396.484,386.892,3.147,0.088,0.023,0.998,-0.115,-0.99,-0.049
50,0.702,4,386.759,400.811,369.751,3.188,0.079,0.023,0.997,0.263,0.841,-0.466
51,0.702,4,381.446,392.154,371.551,3.188,0.086,0.024,0.997,0.844,-0.337,0.411
52,0.703,4,377.82,392.068,365.601,3.188,0.085,0.019,0.998,-0.466,-0.67,0.573
53,0.703,4,393.167,396.825,383.232,3.188,0.084,0.019,0.997,-0.126,-0.824,0.547
54,0.703,10,377.441,391.34,361.72,3.114,0.078,0.032,0.996,0.015,0.407,-0.909
55,0.704,4,383.666,387.822,380.429,3.188,0.065,0.03,0.997,-0.302,-0.423,0.851
56,0.704,7,378.829,391.34,363.689,3.15,0.079,0.026,0.997,-0.741,0.279,-0.606
57,0.705,4,387.248,399.012,379.069,3.188,0.068,0.026,0.997,-0.3,0.928,-0.205
58,0.705,4,382.076,391.985,374.24,3.188,0.094,0.025,0.997,-0.43,0.842,0.316
59,0.705,9,383.406,401.303,360.716,3.136,0.071,0.032,0.997,-0.183,0.916,-0.348
60,0.705,4,370.526,386.8,354.002,3.188,0.087,0.022,0.999,0.778,0.576,-0.246
61,0.705,4,379.606,390.164,364.858,3.188,0.09,0.016,0.997,0.137,-0.765,0.623
62,0.706,4,380.343,397.904,361.155,3.188,0.073,0.027,0.997,-0.125,0.875,-0.461
63,0.707,7,381.897,397.437,364.327,3.15,0.074,0.024,0.998,0.547,-0.832,-0.07
64,0.707,4,382.39,390.164,369.052,3.188,0.08,0.019,0.997,-0.037,-0.862,0.499
65,0.708,4,387.164,398.573,379.069,3.188,0.078,0.027,0.996,-0.257,0.885,-0.379
66,0.709,3,380.614,388.951,375.795,3.187,0.076,0.012,0.996,-0.271,0.642,-0.711
67,0.71,6,381.586,388.663,375.075,3.185,0.085,0.015,0.996,0.109,-0.98,0.143
68,0.71,4,387.564,399.903,377.061,3.188,0.092,0.017,0.997,0.314,-0.597,-0.735
69,0.71,4,366.087,388.461,354.002,3.188,0.076,0.029,0.996,-0.501,0.733,-0.452
70,0.71,4,393.661,396.503,388.756,3.188,0.079,0.017,0.998,-0.167,-0.982,0.058
71,0.712,9,376.754,391.553,365.558,3.136,0.082,0.022,0.996,-0.973,0.212,-0.031
72,0.714,4,368.976,383.107,356.679,3.188,0.075,0.019,0.997,-0.717,0.188,-0.668
73,0.715,4,384.882,391.168,373.559,3.188,0.075,0.014,0.998,-0.474,-0.725,0.495
74,0.717,3,367.507,386.8,354.002,3.187,0.083,0.024,0.997,0.762,-0.595,-0.244
75,0.718,4,374.753,388.461,352.172,3.188,0.081,0.015,0.997,0.434,0.534,-0.722
76,0.719,4,376.55,391.138,354.002,3.188,0.079,0.015,0.997,0.047,0.321,-0.942
77,0.722,3,374.646,383.276,369.751,3.187,0.073,0.012,0.997,-0.938,0.336,0.012
78,0.722,3,372.157,379.825,368.025,3.187,0.085,0.011,0.997,0.245,-0.966,0.013
79,0.723,4,372.824,383.61,362.034,3.188,0.079,0.014,0.998,-0.166,-0.714,-0.677
80,0.724,11,374.102,390.453,356.679,3.116,0.077,0.022,0.997,-0.725,-0.254,-0.635
81,0.728,6,379.116,387.205,364.879,3.185,0.071,0.018,0.997,-0.364,-0.928,0.034
82,0.728,14,374.277,390.733,354.002,3.127,0.081,0.026,0.996,0.032,-0.388,-0.917
83,0.73,3,374.364,378.943,368.904,3.187,0.075,0.012,0.996,-0.098,0.516,-0.846
84,0.731,11,384.006,402.15,368.06,3.116,0.075,0.028,0.996,-0.289,0.313,-0.9
85,0.731,17,379.723,398.565,359.734,3.135,0.08,0.032,0.995,0.284,-0.909,-0.29
86,0.732,4,367.849,385.953,352.172,3.188,0.079,0.019,0.997,0.435,-0.54,-0.717
87,0.734,3,368.337,377.095,352.12,3.187,0.096,0.007,0.998,-0.26,-0.676,-0.686
88,0.735,4,378.181,391.767,364.879,3.188,0.066,0.013,0.998,0.007,-0.885,-0.46
89,0.736,9,372.198,384.437,361.312,3.136,0.089,0.018,0.998,-0.972,-0.225,-0.036
90,0.737,3,378.069,388.525,372.093,3.187,0.067,0.013,0.997,0.334,-0.936,-0.072
91,0.739,8,375.754,386.833,361.207,3.147,0.08,0.01,0.994,0.51,-0.802,0.293
92,0.739,8,381.617,396.335,360.275,3.147,0.075,0.019,0.998,0.452,-0.861,-0.224
93,0.739,4,370.314,377.782,363.52,3.188,0.084,0.014,0.999,-0.636,-0.753,-0.158
94,0.74,3,373.189,378.943,366.227,3.187,0.085,0.006,0.997,-0.843,0.12,0.52
95,0.741,10,376.412,392.469,352.664,3.114,0.084,0.022,0.996,-0.162,0.417,-0.89
96,0.747,3,369.292,370.912,367.213,3.187,0.073,0.007,0.998,-0.921,-0.384,0.013
97,0.749,3,370.512,378.943,366.227,3.187,0.071,0.013,0.998,-0.836,-0.174,0.517
98,0.749,20,375.684,402.179,352.664,3.158,0.081,0.03,0.994,-0.231,-0.365,-0.895
99,0.75,10,372.185,384.298,356.44,3.114,0.088,0.024,0.996,-0.348,-0.87,0.338
100,0.751,4,377.235,392.876,361.867,3.188,0.07,0.017,0.997,0.265,-0.844,-0.461
101,0.755,3,366.332,375.244,354.849,3.187,0.087,0.008,0.997,-0.094,-0.557,-0.822
102,0.755,13,370.831,390.638,357.526,3.13,0.084,0.021,0.996,-0.501,-0.798,-0.324
103,0.755,4,373.833,384.298,359.012,3.188,0.077,0.019,0.998,-0.425,-0.846,0.317
104,0.756,3,372.189,374.931,369.187,3.187,0.091,0.007,0.998,-0.177,-0.962,-0.197
105,0.762,4,378.573,386.943,364.879,3.188,0.08,0.012,0.998,-0.295,-0.932,-0.202
106,0.762,3,374.301,382.732,360.59,3.187,0.089,0.009,0.998,-0.135,-0.879,-0.451
107,0.763,11,375.814,392.118,356.617,3.116,0.076,0.016,0.997,-0.204,-0.908,-0.356
108,0.77,3,358.629,366.227,354.002,3.187,0.063,0.008,0.998,-0.505,-0.738,-0.443
