index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.617,28,396.981,403.294,383.963,3.165,0.064,0.049,0.993,0.028,0.991,-0.055
1,0.627,4,393.731,396.325,387.037,3.188,0.063,0.008,0.998,0.539,0.596,0.593
2,0.644,4,390.659,392.824,387.999,3.188,0.06,0.022,0.998,-0.041,0.558,0.826
3,0.645,4,391.702,394.837,388.496,3.188,0.058,0.018,0.998,0.595,0.153,0.786
4,0.651,4,388.466,397.726,380.177,3.188,0.059,0.02,0.998,0.711,0.681,-0.165
5,0.654,4,395.45,400.9,387.44,3.188,0.06,0.016,0.999,0.715,0.639,0.279
6,0.654,4,389.198,393.001,386.661,3.188,0.06,0.022,0.997,0.594,-0.164,0.784
7,0.655,4,389.629,392.824,387.018,3.188,0.058,0.028,0.997,-0.038,-0.564,0.821
8,0.656,4,385.164,391.838,373.632,3.188,0.058,0.017,0.996,0.535,-0.601,0.588
9,0.656,4,395.253,398.742,391.116,3.188,0.061,0.023,0.997,0.228,0.783,-0.574
10,0.658,4,395.705,401.916,390.504,3.188,0.058,0.018,0.998,0.138,0.822,0.549
11,0.658,11,391.062,401.569,382.66,3.116,0.057,0.025,0.996,-0.344,0.604,0.714
12,0.66,4,394.684,400.848,387.827,3.188,0.068,0.014,0.998,0.405,0.551,0.726
13,0.661,4,394.244,398.008,389.425,3.188,0.057,0.023,0.997,-0.172,0.981,0.055
14,0.665,4,387.062,396.839,374.688,3.188,0.058,0.022,0.997,0.709,-0.643,0.278
15,0.67,4,392.733,399.234,385.197,3.188,0.067,0.027,0.997,-0.041,0.95,-0.299
16,0.671,10,386.927,399.897,375.692,3.114,0.056,0.03,0.997,-0.335,-0.61,0.714
17,0.671,4,398.382,402.586,394.802,3.188,0.051,0.016,0.998,0.226,0.953,0.19
18,0.671,4,395.376,398.469,392.402,3.188,0.066,0.021,0.999,0.954,0.243,-0.168
19,0.672,8,375.105,391.485,364.367,3.147,0.06,0.025,0.998,-0.586,0.634,-0.501
20,0.672,4,386.78,394.058,376.571,3.188,0.065,0.022,0.996,0.403,-0.557,0.721
21,0.672,4,387.203,400.246,373.519,3.188,0.067,0.019,0.997,-0.735,0.67,-0.075
22,0.673,4,382.327,388.461,375.244,3.188,0.053,0.025,0.997,-0.17,0.104,0.977
23,0.673,4,391.648,399.242,385.835,3.188,0.056,0.018,0.996,-0.478,0.588,-0.647
24,0.674,4,383.695,399.138,367.391,3.188,0.057,0.023,0.997,-0.553,0.703,0.441
25,0.674,4,382.155,393.99,371.586,3.188,0.06,0.018,0.999,0.975,0.193,0.101
26,0.675,7,381.126,392.187,375.244,3.15,0.054,0.025,0.997,0.925,-0.001,0.374
27,0.675,28,396.996,402.92,384.81,3.165,0.059,0.034,0.993,0.03,-0.991,-0.055
28,0.675,4,382.803,393.993,368.217,3.188,0.049,0.017,0.998,-0.646,0.581,0.49
29,0.677,4,379.478,389.657,368.909,3.188,0.063,0.018,0.997,0.222,0.06,0.97
30,0.68,4,381.085,394.162,368.205,3.188,0.063,0.019,0.997,0.707,-0.684,-0.162
31,0.682,7,378.809,392.187,361.72,3.15,0.06,0.033,0.997,0.879,0,-0.471
32,0.682,4,378.981,387.822,375.075,3.188,0.057,0.03,0.997,-0.169,-0.114,0.976
33,0.682,4,394.327,396.505,392.402,3.188,0.053,0.027,0.998,0.951,-0.253,-0.167
34,0.682,4,387.47,393.82,377.275,3.188,0.068,0.017,0.998,0.533,0.811,0.233
35,0.682,4,383.723,393.658,376.583,3.188,0.064,0.024,0.997,-0.346,0.934,0.055
36,0.685,7,372.308,385.284,361.72,3.15,0.059,0.019,0.997,-0.738,0.001,-0.671
37,0.686,4,376.092,387.822,367.074,3.188,0.067,0.023,0.997,0.222,-0.07,0.969
38,0.686,4,377.475,392.154,369.751,3.188,0.069,0.025,0.998,0.972,-0.203,0.101
39,0.689,4,387.577,400.142,373.307,3.188,0.055,0.024,0.998,0.442,0.808,-0.384
40,0.69,4,376.317,388.983,368.217,3.188,0.062,0.022,0.998,-0.642,-0.587,0.49
41,0.691,4,386.257,397.739,366.739,3.188,0.059,0.014,0.997,0.483,0.54,-0.686
42,0.694,3,375.845,386.766,367.251,3.187,0.061,0.012,0.996,-0.141,0.684,-0.71
43,0.695,4,389.067,393.531,385.27,3.188,0.054,0.015,0.998,-0.476,-0.595,-0.645
44,0.696,4,380.691,388.104,373.519,3.188,0.066,0.013,0.999,-0.732,-0.676,-0.073
45,0.698,4,383.208,391.985,375.244,3.188,0.058,0.025,0.997,-0.476,0.846,0.23
46,0.698,4,373.621,390.481,351.325,3.188,0.06,0.024,0.998,0.781,0.19,-0.593
47,0.701,4,379.198,393.71,362.902,3.188,0.052,0.02,0.996,-0.21,0.66,-0.717
48,0.705,4,379.789,397.739,367.022,3.188,0.057,0.016,0.997,0.482,-0.546,-0.681
49,0.707,4,370.275,390.481,351.325,3.188,0.067,0.029,0.998,0.779,-0.198,-0.591
50,0.707,4,391.985,398.742,384.832,3.188,0.06,0.016,0.997,0.23,-0.787,-0.568
51,0.707,4,389.308,400.081,376.978,3.188,0.057,0.012,0.997,0.14,-0.822,0.545
52,0.71,4,384.777,398.908,374.206,3.188,0.061,0.027,0.996,-0.341,0.837,-0.42
53,0.71,4,394.079,397.422,389.425,3.188,0.066,0.017,0.998,-0.167,-0.982,0.058
54,0.712,4,383.985,398.573,376.374,3.188,0.054,0.026,0.997,-0.426,0.877,-0.204
55,0.713,6,385.896,394.989,371.581,3.185,0.061,0.028,0.997,-0.878,0.457,-0.12
56,0.714,4,380.557,395.666,360.238,3.188,0.056,0.015,0.998,-0.722,0.53,0.44
57,0.715,4,389.546,400.75,370.903,3.188,0.068,0.014,0.997,0.227,-0.952,0.191
58,0.715,7,369.51,380.631,363.689,3.15,0.064,0.019,0.998,-0.582,-0.641,-0.496
59,0.719,6,372.763,381.923,362.337,3.185,0.064,0.015,0.997,-0.187,-0.672,-0.712
60,0.722,4,374.197,388.282,360.299,3.188,0.058,0.017,0.998,-0.548,-0.708,0.441
61,0.722,4,390.189,400.581,376.708,3.188,0.062,0.013,0.998,-0.871,0.325,0.363
62,0.722,4,371.653,383.451,361.012,3.188,0.066,0.023,0.998,-0.337,0.358,0.868
63,0.726,4,373.138,388.543,360.238,3.188,0.062,0.02,0.998,-0.718,-0.536,0.44
64,0.727,4,387.153,399.234,372.68,3.188,0.06,0.013,0.998,-0.037,-0.952,-0.295
65,0.728,4,377.347,390.146,358.835,3.188,0.061,0.015,0.997,0.53,-0.812,0.232
66,0.731,4,375.969,382.959,362.641,3.188,0.062,0.018,0.998,-0.34,-0.937,0.057
67,0.733,4,367.18,384.298,359.012,3.188,0.057,0.029,0.997,-0.334,-0.366,0.865
68,0.734,4,387.3,392.737,376.709,3.188,0.061,0.018,0.999,-0.869,-0.332,0.364
69,0.734,7,377.56,391.34,351.325,3.15,0.057,0.026,0.997,-0.374,0.15,-0.912
70,0.738,6,379.214,391.807,361.379,3.185,0.058,0.023,0.999,-0.88,-0.457,-0.12
71,0.743,4,378.871,392.824,365.318,3.188,0.053,0.013,0.997,0.442,-0.81,-0.379
72,0.744,3,377.323,383.276,369.751,3.187,0.071,0.006,0.996,0.208,0.256,-0.939
73,0.748,4,376.304,385.145,364.367,3.188,0.06,0.019,0.998,-0.47,-0.85,0.231
74,0.753,7,376.03,391.34,351.325,3.15,0.057,0.022,0.997,-0.374,-0.153,-0.911
75,0.759,3,376.556,388.756,364.345,3.187,0.051,0.012,0.997,-0.885,0.206,-0.411
76,0.76,3,371.969,383.276,362.881,3.187,0.073,0.01,0.996,0.206,-0.309,-0.925
77,0.766,4,376.61,386.274,365.391,3.188,0.055,0.013,0.998,-0.337,-0.842,-0.417
