index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.524,370,390.846,404.647,352.246,3.197,0.06,0.14,0.976,0.165,0.962,0
1,0.539,615,386.658,405.865,351.952,3.2,0.06,0.128,0.965,0.724,-0.004,0.638
2,0.552,593,387.001,407.184,353.884,3.197,0.06,0.111,0.965,0.798,0.522,0.149
3,0.555,298,387.83,404.62,354.739,3.2,0.06,0.104,0.981,0.203,0.677,0.68
4,0.56,342,384.841,400.546,347.916,3.199,0.06,0.109,0.978,0.565,0.624,-0.498
5,0.564,591,385.167,403.319,351.95,3.197,0.06,0.113,0.965,0.795,-0.526,0.149
6,0.572,368,390.142,402.521,352.246,3.196,0.06,0.12,0.976,0.163,-0.962,0
7,0.573,396,386.257,401.788,347.378,3.194,0.06,0.123,0.974,-0.18,0.608,-0.739
8,0.575,171,386.831,400.437,353.248,3.21,0.061,0.096,0.991,-0.369,0.711,0.584
9,0.582,328,386.05,401.991,352.166,3.198,0.06,0.105,0.983,-0.517,0.825,-0.136
10,0.582,296,385.495,401.238,351.219,3.201,0.059,0.098,0.981,0.201,-0.683,0.675
11,0.587,340,384.859,401.551,350.555,3.198,0.06,0.102,0.978,0.562,-0.629,-0.495
12,0.592,164,386.457,401.396,351.975,3.207,0.059,0.091,0.991,0.154,0.32,0.925
13,0.595,394,386.21,402.914,349.011,3.195,0.06,0.119,0.975,-0.18,-0.613,-0.736
14,0.599,178,383.967,400.733,351.087,3.205,0.061,0.101,0.992,-0.764,0.324,0.543
15,0.603,170,386.796,401.529,352.72,3.209,0.059,0.094,0.992,-0.367,-0.716,0.58
16,0.604,163,384.466,401.071,351.935,3.207,0.061,0.091,0.992,0.154,-0.329,0.923
17,0.605,330,387.174,404.296,350.372,3.197,0.06,0.1,0.977,-0.904,0.339,0.146
18,0.606,174,383.623,399.597,352.045,3.21,0.06,0.096,0.992,-0.369,0.234,0.89
19,0.608,177,383.914,399.643,351.052,3.207,0.06,0.102,0.992,-0.762,-0.334,0.541
20,0.608,188,387.302,402.094,352.861,3.204,0.06,0.103,0.992,0.33,0.368,-0.86
21,0.609,192,384.547,402.681,351.045,3.205,0.061,0.106,0.992,-0.815,0.237,-0.513
22,0.61,326,385.998,403.967,352.165,3.198,0.06,0.104,0.982,-0.512,-0.828,-0.134
23,0.615,173,383.641,399.114,350.922,3.208,0.059,0.096,0.992,-0.369,-0.245,0.888
24,0.617,328,387.164,403.421,352.931,3.198,0.06,0.1,0.977,-0.901,-0.348,0.145
25,0.618,192,384.434,404.076,351.004,3.205,0.061,0.106,0.992,-0.812,-0.248,-0.512
26,0.62,187,387.32,401.56,356.47,3.205,0.06,0.103,0.992,0.328,-0.376,-0.857
