index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.622,4,387.934,393.82,380.465,3.188,0.092,0.018,0.998,0.049,0.684,0.725
1,0.622,20,383.12,395.926,363.223,3.158,0.085,0.038,0.996,0.656,0.002,0.749
2,0.642,7,380.974,389.865,362.463,3.15,0.084,0.026,0.997,-0.7,0.001,0.71
3,0.647,4,395.713,402.303,390.556,3.188,0.083,0.019,0.997,0.091,0.988,0.1
4,0.647,4,386.238,398.395,372.85,3.188,0.083,0.022,0.997,-0.648,0.756,0.055
5,0.651,4,379.404,387.822,367.044,3.188,0.073,0.017,0.997,0.051,-0.688,0.72
6,0.652,4,388.602,392.311,384.298,3.188,0.083,0.023,0.997,0.135,0.988,-0.032
7,0.653,4,388.774,393.001,384.298,3.188,0.075,0.022,0.998,0.593,0.743,-0.305
8,0.654,4,396.274,400.178,391.173,3.188,0.071,0.014,0.998,0.318,0.6,0.731
9,0.654,8,387.641,393.316,377.857,3.147,0.079,0.025,0.998,0.606,0.78,-0.143
10,0.657,7,379.313,393.316,361.72,3.15,0.08,0.029,0.998,0.585,0.808,-0.027
11,0.658,4,390.471,394.978,384.13,3.188,0.082,0.005,0.999,0.671,0.684,0.28
12,0.658,4,391.067,393.99,387.649,3.188,0.074,0.018,0.998,0.955,0.062,0.285
13,0.659,4,393.041,396.001,391.642,3.188,0.093,0.028,0.997,-0.129,0.986,-0.076
14,0.661,4,378.769,392.154,362.034,3.188,0.064,0.017,0.998,0.71,0.106,-0.694
15,0.666,4,390.061,396.065,382.667,3.188,0.081,0.022,0.996,0.317,-0.605,0.725
16,0.666,4,393.658,402.981,387.618,3.188,0.096,0.017,0.998,0.093,0.504,0.856
17,0.667,4,383.454,391.138,377.782,3.188,0.069,0.022,0.998,-0.302,0.717,0.625
18,0.667,4,389.232,392.154,385.814,3.188,0.082,0.023,0.998,0.954,-0.074,0.285
19,0.667,4,389.985,392.646,386.483,3.188,0.07,0.023,0.997,-0.084,0.285,0.952
20,0.668,7,380.743,388.496,373.729,3.15,0.078,0.025,0.996,0.208,0,0.974
21,0.668,4,390.61,393.99,385.819,3.188,0.081,0.018,0.998,0.5,0.83,0.238
22,0.669,4,383.666,391.985,377.782,3.188,0.08,0.021,0.998,-0.171,0.628,0.756
23,0.67,4,379.65,392.154,362.881,3.188,0.088,0.021,0.998,0.709,-0.115,-0.693
24,0.67,4,387.012,391.985,383.276,3.188,0.091,0.025,0.997,-0.306,0.947,0.056
25,0.677,4,391.059,398.395,383.524,3.188,0.07,0.021,0.998,0.766,0.421,-0.482
26,0.678,4,390.398,393.99,384.972,3.188,0.074,0.018,0.999,0.91,0.334,0.24
27,0.678,4,386.283,391.555,378.986,3.188,0.076,0.024,0.997,0.094,-0.511,0.851
28,0.678,4,383.451,395.561,366.018,3.188,0.08,0.029,0.997,0.003,0.882,-0.464
29,0.679,4,388.435,392.646,385.784,3.188,0.082,0.029,0.997,-0.083,-0.294,0.949
30,0.68,7,375.246,392.187,360.872,3.15,0.067,0.033,0.998,0.966,-0.001,-0.249
31,0.681,4,385.004,392.832,379.752,3.188,0.078,0.023,0.998,-0.216,0.81,0.541
32,0.681,4,377.219,386.975,366.197,3.188,0.079,0.028,0.997,-0.167,-0.633,0.752
33,0.682,4,384.874,398.008,375.388,3.188,0.071,0.027,0.997,-0.084,0.972,-0.206
34,0.683,4,388.542,399.138,378.204,3.188,0.077,0.022,0.998,-0.474,0.452,0.753
35,0.683,4,381.433,397.167,369.244,3.188,0.089,0.017,0.998,0.133,0.971,0.185
36,0.685,4,378.981,391.985,369.751,3.188,0.08,0.022,0.998,-0.083,0.84,0.532
37,0.685,4,389.585,398.178,382.081,3.188,0.064,0.02,0.999,0.885,0.457,-0.076
38,0.686,4,387.972,393.99,379.618,3.188,0.085,0.018,0.998,0.805,0.373,0.458
39,0.686,4,388.035,394.497,384.371,3.188,0.084,0.028,0.998,0.764,-0.429,-0.478
40,0.686,4,386.343,391.985,378.943,3.188,0.081,0.025,0.997,0.18,0.947,-0.254
41,0.686,4,390.377,399.405,379.743,3.188,0.075,0.016,0.998,0.265,0.8,0.535
42,0.686,4,381.235,391.307,368.874,3.188,0.075,0.016,0.997,0.666,-0.687,0.278
43,0.687,4,383.666,391.985,377.921,3.188,0.079,0.025,0.997,-0.434,0.892,0.099
44,0.689,4,385.216,392.154,370.912,3.188,0.085,0.017,0.997,0.048,0.549,-0.83
45,0.69,4,386.929,392.154,383.136,3.188,0.087,0.025,0.997,0.906,-0.343,0.239
