index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.619,4,390.024,394.319,385.814,3.188,0.102,0.029,0.997,0.003,0.997,-0.033
1,0.64,4,387.012,391.985,378.943,3.188,0.097,0.025,0.997,0.138,0.734,-0.66
2,0.641,4,385.004,391.985,377.782,3.188,0.095,0.023,0.998,-0.128,0.723,0.675
3,0.651,4,391.491,393.99,388.496,3.188,0.105,0.018,0.997,0.141,0.199,0.967
4,0.654,4,390.821,393.99,385.819,3.188,0.09,0.018,0.999,0.771,0.604,0.193
5,0.659,4,387.052,393.99,379.617,3.188,0.089,0.017,0.998,0.578,0.812,0.056
6,0.663,4,389.655,392.154,386.661,3.188,0.093,0.025,0.997,0.142,-0.209,0.964
7,0.666,4,385.428,392.154,377.752,3.188,0.095,0.025,0.997,0.766,-0.609,0.193
8,0.672,4,389.606,393.99,383.142,3.188,0.09,0.018,0.998,0.539,0.195,0.816
9,0.674,4,388.563,392.154,384.298,3.188,0.087,0.023,0.999,0.954,0.243,-0.168
10,0.678,4,389.535,394.554,381.803,3.188,0.089,0.017,0.998,0.401,0.767,0.498
11,0.68,4,389.812,394.319,385.814,3.188,0.09,0.013,0.997,0.007,-0.997,-0.03
12,0.681,4,385.428,392.154,380.429,3.188,0.09,0.023,0.997,0.538,-0.205,0.814
13,0.684,4,388.105,391.985,385.953,3.188,0.086,0.025,0.998,-0.441,0.241,0.862
14,0.684,4,387.018,392.654,379.278,3.188,0.086,0.023,0.999,0.812,0.466,-0.347
15,0.685,4,387.682,392.154,384.298,3.188,0.092,0.029,0.998,0.951,-0.253,-0.167
16,0.687,4,388.429,394.659,380.621,3.188,0.087,0.018,0.998,0.938,0.195,0.28
17,0.687,4,378.769,387.822,366.197,3.188,0.094,0.021,0.997,-0.125,-0.727,0.671
18,0.689,4,377.431,391.985,363.689,3.188,0.082,0.024,0.997,-0.595,0.788,0.14
19,0.69,4,372.534,388.461,356.679,3.188,0.087,0.029,0.996,-0.21,0.743,-0.629
20,0.69,4,385.004,391.307,379.79,3.188,0.098,0.019,0.997,0.14,-0.739,-0.655
21,0.691,4,380.531,392.832,373.589,3.188,0.084,0.03,0.997,-0.559,0.754,-0.335
22,0.693,4,382.539,389.308,372.567,3.188,0.09,0.016,0.998,-0.74,0.237,0.627
23,0.693,4,387.648,389.308,385.953,3.188,0.091,0.03,0.997,-0.439,-0.249,0.86
24,0.696,4,383.538,392.154,379.278,3.188,0.091,0.03,0.997,0.808,-0.473,-0.344
